20250723 023600;23235.5;23238;23234.25;23237.5;23
20250723 023700;23237;23240;23237;23238.75;16
20250723 023800;23238.25;23239.75;23237.75;23239.25;30
20250723 023900;23240;23240;23236;23237;39
20250723 024000;23237.5;23237.75;23233.25;23234.75;41
20250723 024100;23234.25;23234.75;23232;23233.75;34
20250723 024200;23234.5;23236.75;23234.5;23235.5;31
20250723 024300;23235;23237.75;23234.75;23236.5;27
20250723 024400;23237.5;23237.5;23236.25;23237.5;12
20250723 024500;23237.75;23238;23235.75;23237.25;13
20250723 024600;23237.75;23239.25;23237.25;23237.25;21
20250723 024700;23237.75;23239;23237.5;23237.5;28
20250723 024800;23237;23237.5;23236;23236;19
20250723 024900;23235.75;23239.25;23234.75;23239.25;30
20250723 025000;23239.25;23240.25;23238;23238.75;31
20250723 025100;23238.5;23240;23237.5;23239.25;20
20250723 025200;23240.25;23240.5;23238.75;23239.75;23
20250723 025300;23239;23241.5;23238.25;23240.25;24
20250723 025400;23240.75;23242;23240.5;23240.5;23
20250723 025500;23240;23241.75;23239.25;23240.75;25
20250723 025600;23241.75;23246;23241.25;23246;100
20250723 025700;23246.25;23247.25;23244.25;23245.5;56
20250723 025800;23245.25;23245.75;23243.25;23244.25;33
20250723 025900;23244.5;23246.75;23244.5;23246;16
20250723 030000;23246;23246.5;23245;23245.5;23
20250723 030100;23246.5;23248;23244.75;23248;98
20250723 030200;23248.5;23249.25;23247.5;23248.5;63
20250723 030300;23248.5;23248.75;23242.75;23243.25;56
20250723 030400;23243.5;23243.5;23241;23242;63
20250723 030500;23241.5;23244.75;23241.5;23244.75;23
20250723 030600;23244.25;23244.25;23243.25;23243.5;21
20250723 030700;23244;23244;23244;23244;1
20250723 030800;23242.5;23245.75;23242.25;23245;28
20250723 030900;23245.75;23246.25;23244;23246;27
20250723 031000;23245.75;23246.75;23245.5;23246.25;14
20250723 031100;23246.5;23247;23245.75;23247;15
20250723 031200;23246.5;23247;23246;23246.25;25
20250723 031300;23246;23246.25;23245.25;23246.25;15
20250723 031400;23245.75;23246.75;23245.75;23246.25;8
20250723 031500;23246.75;23249.5;23246.25;23248;53
20250723 031600;23248.25;23249.5;23248;23248.25;21
20250723 031700;23248;23248;23246.5;23247;21
20250723 031800;23247.5;23249;23246.75;23248;19
20250723 031900;23249;23249.75;23247.75;23248.75;19
20250723 032000;23249.25;23249.25;23248.5;23249.25;8
20250723 032100;23249.25;23250.25;23249;23249.75;19
20250723 032200;23250;23251.5;23249.75;23251.5;43
20250723 032300;23250.5;23253;23250.5;23251.75;67
20250723 032400;23251.5;23252;23251;23251.5;19
20250723 032500;23252;23253.25;23251.5;23253.25;32
20250723 032600;23252.5;23254.25;23252.5;23253.75;34
20250723 032700;23254;23255;23253.75;23254.75;48
20250723 032800;23254.25;23255;23252.5;23252.5;42
20250723 032900;23253.75;23254.5;23253.25;23253.5;26
20250723 033000;23253.5;23254.25;23252;23252;42
20250723 033100;23252.75;23253.25;23248.75;23250;118
